the_geom,cartodb_id,objectid,date_inven,species,dbh,condition,site_type,site_width,wires,site_devel,site_size,notes,address,neighborho,collected_,planted_by,plant_date,scientific,family,genus,common,functional,size,edible,species_de
0101000020E61000002AFD35453BA45EC0ACB1EA96AAC94640,213107,213107,2016-09-22 17:47:40+00,TI,11.3,Fair,cutout,4,None,Improved,Medium,,9500 NE CASCADES PKWY,PDX,staff,,,Tilia spp.,Malvaceae,Tilia,linden,BD,L,no,
0101000020E61000008461C2B997A45EC00201FAA1C4C94640,213180,213180,2016-09-22 17:47:40+00,FR,12.7,Fair,median,10,None,Improved,Large,,,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E6100000B078C97692A45EC028ABB174CFC94640,217433,214433,2016-09-22 17:47:40+00,FR,10.5,Fair,median,21,None,Improved,Large,,,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E61000005B3CACC2A3A45EC09DC304BFACC94640,213166,213166,2016-09-22 17:47:40+00,FR,11.1,Fair,median,21,None,Improved,Large,,,PDX,staff,,,Fraxinus spp.,Oleaceae,Fraxinus,ash,BD,M,no,
0101000020E61000005E0C0D37C9A35EC00A37C24A51C94640,212704,212704,2016-09-21 18:33:09+00,PY,7.2,Fair,cutout,4,None,Improved,Medium,,9920 NE CASCADES PKWY,PDX,staff,,,Pyrus spp.,Rosaceae,Pyrus,pear,BD,M,no,
0101000020E6100000201BF7A4CBA35EC0FBCE764053C94640,212559,212559,2016-09-21 18:33:09+00,PY,8.3,Fair,cutout,4,None,Improved,Medium,,9920 NE CASCADES PKWY,PDX,staff,,,Pyrus spp.,Rosaceae,Pyrus,pear,BD,M,no,
0101000020E61000005EE17830CBA35EC0A06CE3FA05C94640,212533,212533,2016-09-21 18:33:09+00,ACRU,9.2,Fair,strip,5.7,None,Improved,Medium,,10101 NE ALDERWOOD RD,PDX,staff,,,Acer rubrum,Sapindaceae,Acer,"maple, red",BD,M,no,
0101000020E6100000EF0C4281F0A35EC07346B9AA70C94640,212555,212555,2016-09-21 18:33:09+00,PY,6.7,Fair,cutout,4,None,Improved,Medium,,9830 NE CASCADES PKWY,PDX,staff,,,Pyrus spp.,Rosaceae,Pyrus,pear,BD,M,no,
0101000020E61000004B63AF94EDA35EC0A08540116FC94640,212556,212556,2016-09-21 18:33:09+00,PY,6.8,Fair,cutout,4,None,Improved,Medium,,9830 NE CASCADES PKWY,PDX,staff,,,Pyrus spp.,Rosaceae,Pyrus,pear,BD,M,no,
0101000020E6100000C97CF13DE6A35EC07BF49B1369C94640,212557,212557,2016-09-21 18:33:09+00,PY,6.6,Fair,cutout,4,None,Improved,Medium,,9920 NE CASCADES PKWY,PDX,staff,,,Pyrus spp.,Rosaceae,Pyrus,pear,BD,M,no,
0101000020E6100000CE139267E0A35EC057B43D8764C94640,212558,212558,2016-09-21 18:33:09+00,PY,5.9,Fair,cutout,4,None,Improved,Medium,,9920 NE CASCADES PKWY,PDX,staff,,,Pyrus spp.,Rosaceae,Pyrus,pear,BD,M,no,
0101000020E610000013470869E2A35EC0035F383166C94640,212673,212673,2016-09-21 18:33:09+00,PY,6.2,Fair,cutout,4,None,Improved,Medium,,9920 NE CASCADES PKWY,PDX,staff,,,Pyrus spp.,Rosaceae,Pyrus,pear,BD,M,no,
